mdng,fr,mdng-remain,fr-remain
3 Pə ’ah pəlli,Large," Zah lak ah alləlləə (yo lailai) Mo soɓ zah lak mər alləlləə (lailai) ka, wee nyee lea ga gŋ Jeertə ahe: werere", 
"Ɓə ah ’yah faa: A naiko, wala ɓə ah mo yea naiko",Amen," Amen ’yah faa pə cok maki ah laŋ ne: ne goŋga, ’manna, wala ryakryakke Za zyii amen inzah juupelle Amen cuu təɗii Yesu ta ", 
"॥ii ah cuu dəɓ vaŋno, pa suu sə","Je, moi"," Dəɓ gak faa: Ame, ameene, azyeni Za ki faara: Ameene, meene Ame (me) ga no Mo ee a/c, ɓə ah cuu ɓo gŋ", 
"Ko, ko sye, ammana, yo, monai ɓe","Mais, cependant, pourtant, eh bien"," Gee pə zah makee ge ne? Dəɓ tə ya Mo gyo, amma, mo yaŋ ka Amo tə ɓe, ammana mo ka tə zyii faa ya", 
"Surri, dəə (jee), sah","Choyé, bien aimé", We amme (dəəni) Amo pə ’amme (jee) veɗe Wel ah am (dəə) ɓo no cam Wel bai laa lai yo, 
Sah,"Choyer, aimer, chérir"," Sur dəɓɓi, sur welle, ’yah dəɓ pəlli Pam am ko ɓo pəlli Azu ye am mo ɓo ne? Mo am ɓə moo ge pel ka, ’yah faa: mo soɓ ɓə moo ge pə wah ka", 
"Mo ee amo, ɓtv yo","Tu, toi", , 
Amo (amone) cuu dəɓ vaŋno ɓo,"Tu, toi"," Dəɓ gak faa: mo (amo, amone) Za ki faara: Amone, mone Amo tə ya ne? Mo ee a/c, ɓə ah cuu ɓo gŋ", 
Ana cuu za (zan) paa ɓo,Nous (inclusif)," Dəɓ gak faa: na, wala ana Ana pə tətəəre, ana cam ne faɓalle Mo ee a/c, ɓə ah cuu ɓo gŋ ", 
"4 Sye, kasye","Il a dit que, interpélation"," Ane (aɓe) mo ge ɗə Ane (aɓe) ɓə maki ah joŋ ɓo no Ane (aɓe), joŋ ka za mo syii sok kpee 
", 
Sər mai faɓea moo əəra rək zah lakre,Terre de la galerie," An (ən, in) gee no, mə ɗaŋ no Mo lwaa an (ən, in) ɓe, ka mo kyeɓ lak ah pəsahe, fan yea gŋ", 
Bii ŋwəə fanne,Ancre," Aŋkər a pəfuu, pəsye, a pəkarahmo no ta Aŋkər mai ka gban fan a 
", 
"Zwə ne zahe, zwə pə’manne","Aspirer, sffler, boire, remplir"," Aŋ bii, aŋ wonni ne swahe Me aŋ bii ge ɓər ɓe (me zwə bii ɓe) Me nyi bii nyi ko aŋ mgbaa, ’yah faa zwə təɗe’ coŋ ya", 
"Pəlli, pə’manne",Douleur," Syen fan ma ne swahe Nwah aŋ (nəə) me wudwudɗi Tətəl ’wah me, a aŋ kahfən nyi me 
wudwudɗi", 
Ara cuu za paa ɓo,"Ils, elles"," Dəɓ gak faa: ra, wala ara Ara pənyeere Mo ee a/c ɓə ah cuu ɓo gŋ pəsahe 
", 
"Dəɓ mai mo zahki ne mo, zahŋhəətəə ɓo","Camarade, compagnon, ami"," Ɓə ah ge pə zah lamme, peve, wala zime ne? dəɓ tə ya Mo kwo me na arai ɓo ne? Za mundaŋ ɗiira arai ne palyaŋ, wala bai, za mai syii ɓəə mo mor ki", 
"’wari ’wari, lom ki ya, ka pəsah ya",Parole d’animateur de dance traditionnelle," Dəɓ ah a faa ɓə aro aro Ɓə faaa zah ah daŋ a aro aro dəɓ ka tan mor ah yaƁə faa dəɓ ma kal pel daa yuŋni, wala daa gai Pa kal pel daa yuŋ lai arr ka za ma daa yuŋ daŋ mo ɓaŋra ɓal zahki Dəɓ ah a ɗii ne pa lai arr Ɓə ma joŋ za zyeɓ suu yo", 
"5 Aru cuu za paare, pa faa ɓə a pəzyil zan ah ta",Nous (exclusif)," Dəɓ gak faa: Ru (aru) Aru tə ɓe Mo ee a/c, ɓə ah cuu ɓo gŋ 
", 
"Pəgaɓɓe, pəbe’",Vilain," Dəɓ ah kwan arvaa (vəraa, revaa revaa) Fan tə syen me, kəə me tə syee arvaa arvaa (vəraa vəraa) Jeertə ahe: pəsahe", 
"Pə’manne, pə lii","Gros, enflé, bombé, un peu plus de la forme normale"," Ɓər ah arərə (ryoryo, wurwur, jyojyo) Lii ah za faa ɓə ɓər ma ’man ahe Ɓər we ŋhaa a arərə, reoreo (ryoryo), wala wurwurri", 
Ne swahe,Bruit de ce qui s’est arreté brusquement," Me baŋ ne sal arr (harr) Mo swaa ge gŋ arr (harr) Nəə ɓaŋ mbai arr (harr) Mbai ye jin ma gban nəə, mo tai suu ɓə ah ne mbai (mombai, məmbai) mai za mo soŋ ka Dəɓ ah joŋ fan arr arr: ’yah faa a joŋ fan ne swahe", 
"Asyee, kanyaa (kənah)","Ah bon! enfin! or! alors ( Esclamation de surprise, de joie)", Asai mo tə ya ba Asai mo nai sye ka Asai ɓə ah goŋga yo, 
Ɓə ma zyii ɗii zah dəɓɓi,"Oui, réponse à un appel"," Pah wel mo ɗii wel ɓe, wel a zyii: awai (iyo) Mo ka zyii ɗii awai ya ne? Awai mo zyii mo laa ɗii ɓe Amma mo zyii awo, wala oho, mo laa ɓə mai mo faa ɓo ɓe Zan ki faara: ŋwəə ye zyiira zah ɗii awai Za wəə zyiira iyo me laa ɓe", 
"Awe (we) cuu zan paare, pa faa ɓə ka pəzyil zan ah ya",Vous," Me ’yah ka awe, we ge daŋ Awe (we) sye kpak ɓə ɓii ɗəne? ’Yah tan cok ul ɓəəra", 
6 Zyii ɓə,Oui," Za mundaŋ faara: Awo Zəmai faara: Oho Mo zyii mo laa ɓə mai mo faa ɓo ɓe Mo ge zyii ɗii laa ɓə ɓe ne? Awo (oho), me ge ɓe Amma, mo zyii awai, mo laa ɗii mai mo tə ɗii ɓe"," Une réponse positive, une approbation "
"Ayee (asai, ahaa) cuu ɓə mai dəɓ mo yea tə ya",Ah bon! Esclamation de joie et de surprise," Ayee, ɓə ah nai soo (ŋhoo) ne? 
", 
Fii: azu ye ne? azu ye ŋhaa ne? ,Qui? ,,
"Dəɓ makene daŋ, dəɓ vaŋno vaŋno daŋ","N’importe qui, lequel, la quelle, quique vous soyez, quiconque"," Azune daŋ mo ge ne fan ahe Mo ee a/c, ɓə ah cuu ɓo gŋ ", 
"Naa mah, wala naa pah mawin ɓo malaŋne","Beau-frere, belle-soeur"," Za kə Torrock ɗiira ne kəzuu, so laŋ a ɗiira wee maŋwəə tao, ka ɗiira dəwor ne kəzuu ya Za ki ɗiira ne ezuu, izuu, azuu ta Azuu, kəzuu, izuu, wala ezuu daŋ ɓə tə vaŋno yo Ezuu ɓe ge ɓo yaŋ ɓe Mo ge ɓo ne kəzuu?"," (Cadet, cadette de ma femme, mari de ma "
,"soeur, époux de ma tante paternelle ou maternelle",, 
7 Patə gwa (2) syel masyin fanŋwəə zah mundaŋ,2ème lettre d’alphabet moundang," Dəɓ ɗii ne təkpuuzahe, ɓə məə ga fah kyaŋ: b 
", 
"Ɓə swaa ɓə fan mai mo kəka, mo joŋ ya, mo kii ya",Pas encore," Me lwaa ya ba, ge ya ba, coŋ ɓo ba, kii ya ba Ɓə ma cuu fan ah joŋ ɓe jeertə ahe: Ahe, ɓe", 
"A cuu fan mai mo tə ga joŋ pelle, wala moo ga joŋ kpə faɗa","Prochainement, plus tard"," Mo ga ba, a ge ko ba, a lwaa ba Dəɓ ah fəə ba faɗa Jeertə ahe: Kpee ya, yao", 
"Kii ɓe, sahɓ ɓe","Rempli, plein, suffisant"," Zah’nan fĩi baa ɓe, ɓər baa ɓe Com baa ɓe, mo ur o Jeertə ahe: Coŋ ɓo, ka ba 
", 
"Ɓaŋ kpahe, laa suu","Se fâcher, être en colère"," Dəɓ ma baa zah coo zah ahe, za tanne dəɓ ah ɓaŋ kpah ɓo 
", 
"Mo ge ɗao baa (bah, bai, lyaŋ)",Camarade en terme péjoratif," Welaŋ ka ɗii zaluu ne baa ya, bai kee suu yo Amma dəɓlii gak ɗii welaŋ ne no Za mai mo joŋra laŋ zahki ɗiira ki baa (bah, bai, lyaŋ)", 
"Bəbaa, daddə","Père, papa"," Wee za mundaŋ ka ɗiira ga lal təɗe’ baaba ya, amma a faara: baa, bəbaa Baa mo ge ɓe ne? Mah wee laŋ faara nyi wee ɓəəra: Mo geo baa (bəbaa)", 
"Baani, cuu fan joŋ pəpaa pəlli","Enfler, remplir, être plein, bourrer, terminer, se presser autour","  Fan baani, fuuni Jol baa me ɓo Coŋ guu, zah ah baa ko ɓo Fan baa ah cee ɓe Tə’yak gak baa dəɓ no ta Ɓə ah baa tə’yak ɓe ɓo Ɓə ki mo kəka wo dəɓ mai tə’yak ah mo yea baa ɓo yao ɓe, ka ɓə ah cee ɓe Rək fan ga pə fan ki, bee bii baa ciiri, pəə sor baa celle 8 Swaa ah baa tahsah ya Fan mai mo baa ya daŋ ka ne zah gilli Za gak baa ɓə mai mo faa ɓo ka joŋ ta Fan mo pəlli laŋ a faara baa cok ɓo Za baa luma tə’nahko pəlli Suŋwii baa ɓo yaŋ aa zahe Cuu bai laa pə’nyahre Mo baa zah tə ɓə feene ? Dəɓ ah ka baa zah kpee ya Dəɓ gak baa kpah ta Dəɓ mo baa zah ɓo ɓe, ka faa ɓə ki pəlli ya, a yea ɓoɓo Amma dəɓ mo baa kpah ɓo ɓe, a joŋ fan ne ko cam", 
Kpuu (kuu),"Tamarindus indica (Tamarinier, être impuissant)"," Baa mo lwaa cok pəsah ɓe, a giŋ pə’manne Kpuu ah pə nahmme, goo ah pənyiŋ Lee ah pəmbəəre Za coora təker ne baare Kəndaŋ dəɓ ah giŋ ɓo tə baare, təgba faa: Dəɓ ah ka ne kəndaŋ yao, dəɓ ah ka daŋ far a Za mundaŋ faara zahlii: Mo lwaa baa pəswah ɓe mo rwah ga pə tə tə soorĩi o ne? ’yah faa, mo lwaa dəɓ ma kal swah ɓo ɓe mo kyeɓ zah patəjee ɓo o ne?", 
Guu manyiŋ təsyik ma saa zyimmi,"Aiguille, épingle"," Mor baatal gəə, za maa suu gŋ ka saa fan ne ko Baatal camcam pəlli: Baatal madam, baatal masyin, baatal ma cuŋ guu no ta Za mundaŋ faa zah baatal ka saa ki ya, gorom ka bəəra bal a, ka ɗahra tənyeer a ", 
"Ereo, minni",Le chat," Baaturu (ero, minni) gbə gee ɓo baaturu pə koŋ pəlli, a pənyin pəlli ta Mo joŋ yella ne fyah ahe, a kpaa mo ne ko", 
Fan mai wee nyee mo yea kaŋra ne goo mənnəə (kəballe),Tresse des feulles de palmier," Babamanjo jur lai ɓo, a yea ne təɓam (kpemme), za ɓoo solle Wee nyee ma tə zəzəə tə kaŋra babamanjo (bahmanjee) yao", 
"Pəsahe, pəswahe","Robuste, charnu, rapidement, avec palpitation", Dəɓ ah ne suu baɓbaɓ (babbab) Wel ah wə ge səŋ ne suu baɓbaɓ Ur ne swah baɓbaɓ Juu zoora kah ɓe baɓbaɓ, 
"9 Gwari, ne swahe",Rapidement," Mo ur səŋ baɓ (haɓ, pərta) Dəɓ ah ur səŋ ne pel baɓ (haɓ, pərta) kal tə syelle 
", 
Soo mabe’ ma kal soo daŋ,Céraste (vipère à corne)," Za ki ɗiira ne batəro Bacoro ka pəwah na soo manyeeki ah ya Təzyee (təzəə) wo suu ah pə ’wahe Bacoro mo loŋ mo ɓe, ka laɓ ah pəgaɓɓe Bacoro (batəro) pəŋwəəre mgbai, a pəə ne zahgwahlle", 
"Za ki ɗiira ne jol talle, zocoro, wuu talle, wala bacoro",Boudin des pailles pour soutenir le toit," Za ki laŋ ɗiira ne təcwəəre, təhər zah talle Za baŋ bacoro (jol talle, wuu talle, wala təcwəəre) ne faa maswahe, ma nahmme, təgbana 
nyahmme, keere (yekeere) Cok ki laŋ a baŋra ne wee kpuu ma nyiŋ Bacoro a mor kaa tə yaŋ pəsahe, a mor ka kpuuzəə mo pea gŋ, ka tai baŋ təl ah ga səŋ pəsah ɓərak", 
"Təbanna, we təbanna","Jeune homme, adolécent", We mai mo swaa nje ɓe We nyee joŋ baddəwoi ɓe Baddəwoi cuu we maswahe Baddəwoi na gyo, 
Pəcwak (pəwii) pəlli,Très chaud," Bii ah pəcwak badɗəɗə, ka gak er ya Mo soɓ com ləə suu badɗəɗə ɗao Dəɓ mo ne syem ɓe, suu ah haŋwii badɗəɗə Jeertə ahe: Wahkəkə, pəwok syeah syeah", 
Təkaare,Vers blanc du hanneton," Zan ki ɗiira ne badəwoi, zan ki ko laŋ ɗiira ne tərilkahe Badəwoi (tərilkahe) pəfai, a syer ne zal pə cok soo Zahban maki ah a renra badəwoi Kah ’yah badəwoi pəlli mor ah za ki ɗiira ne tərilkahe", 
10 Rii ɓə kal dəɓɓi,"Imiter, faire semblant, feindre"," Faa ɓə ne ɓə kikiŋ Me bah ɓə 
təgbana me tə ga lalle, me ge lwaa ko tə kiŋ nyinni Mo bah ɓə ne ɓə dəɓ ki mo laa ɓə faa ah ba Mo tə faa ɓə nai kah dəɓ ka tan dəɓ ah ɓe, ka mo tə bah təbah ta Dəɓ gak bah ɓə kor syem ta", 
Zahfah vamme,Porte faite en tôle," Zahfah yaŋ ah ɓaa ɓo ne bahɓɓe Zahfah bahɓ cuu ma ɓaa ne vam ma gwahe, mai mo ka pəyək pəlli ya Zahfah bahɓ ka pəswah pəlli təgbana zahfah vam kpak ya ", 
Kpuu yo,Ricin," Bahɗee (ceecee, təceere) jur (dər) mombai ɓo, a giŋ kal mombai ɓe Bahɗee ciŋni, giŋni, a lee pə syii moo ta, ka nən pəlli ya, a joŋ syii vaŋno sə Za yea tə zuura nəm ne lee ahe Yunas laa pə’nyah ne kaa cee 
bahɗeere, so təkaa re goo ah yakke", 
Nah kəə ye mai za mo zuu nəm ne mo yea ma pə yaŋ ah ma yakke,Coque de fruit de karité," Nah ah mo kəka gŋ yao ɓe, za ɗii gyak ah ne bahkəə (gurwakkəəre) Bahkəə pəyakke, wee nyee a feera kəə naa ne cii bahkəəre (gurwakkəəre)", 
"Mo ee babamanjo, mababamanjo, ɓtv yo",Tresse des feuilles des palmier, , 
"Dəɓ tə ɓə faa mai njaŋ ya, a cuu cel ne? Wee nyee mo erra bii ɓe, a ɗəəra ləŋ ne zwəə ga səŋ ne faa: bahmasəluuri (hahmabuuri, mababiyo) cel mo wuu welaŋ ka, cel mo wuu dəswahe, wala dəɓlii to","Sot de joie, de froid", Dəɓ ləŋ a ɗəəra ləŋ ah ne zwəə ga səŋ ka cel mo lwaa ceere, 
Kpuu,Khaya senegalensis (caïcédrat)," Kpuu bah a giŋ pə’manne Dəɓ mo cee təzyee (təzəə) ah lal ɓe, suu ah pəsyee Kpuu bahre, goo ahe, ne lee ahe daŋ pəzwakke Za zuu nəm ne lee bahre, nəm ah pəsah pəlli, syiŋ yo", 
"11 Cok mai nasara, wala za swah yeɓ moo kaara gŋ","Bureau, campement"," A cuu yaŋ mai na kwo vuu ah gin wo nasara Baaɓe, yea tə gbanra bahrəki ne faa, amma zəzəəko a ɓaara ne tolle Dəɓ mo faa zye ga bahrəki ɓe, ka tə ga pə cok ɓə faani, wala yeɓ maki ah cam", 
,Buffle, Bahsəə jur faɓal (nəə) ma ɗii ne səə ɓo , 
Təsalle,"Pierre rougeâtre, silex"," Təsal ah ka pəsyee nyaknyak ya, so ka pəfuu ya Təsal ah pəyak pəlli Kah mai mo jur təsal nyee ɓo daŋ, a ɗiira ne kah bahtəsalle, mor təə ah pəsyee nje nje", 
Faa,Herbe," Za ki ɗiira ne bah (madabah) za ki ko laŋ ɗiira ne vahe Bah (madabah, vahe) yea mor welle (elle) Za kaŋra kor ne ko, təəra ram ne ko ta Dabah a giŋ ga səŋ pəwahe (wahlle)", 
"Ɓə jakke, ɓə laani, ɓə faani","Nouvelle, annonce, message, histoire, recit, renseignement"," Mo kee bai me ɗao Ru kaa dah bai təsoo pəlli Me laa ne bai yaŋ ɓii pəlli Bai ne, dəɓ ki ne syemme", 
"Kəka, ka ne ya",Sans," Me bai yaŋ, me bai farelle Bai cuu ryakryak fanne, gwari Dəɓ kaa bai gin a Faa ɓə bai me fii ko Mo ge bai ah ka, bai fan a cuu ta: Təkolle, jol kolle", 
"Palyaŋ, za mai mo bemra zahki, za mai mo ’yahra ki pəlli","Ami, compagnon, camarade"," Dəɓ malaŋ gak gban bai ne dəɓ malii ta Bai matə goŋga tanra ɓə ki, ’yahra ɓə ki Bai ɓo ko zune?", 
Mbəro mai mo dahɓ ɓo ne fan maki ah ka ɓaa bai ɓo,Racommodage, Wii gee mɓəro ɓe ɓo me ga ɓaa bai ahe Mo ɓaa bai ah ne zahzyim tə vaŋno, 
12 Ka ne yeɓ ya,"Sans cause, sans but, sans raison, ignorance"," Fan pə dunia daŋ a bai morrĩi, a kpakke, a təkolle Wel ah joŋ fan bai morrĩi Fan ɓo mo tə joŋ ŋhoo mo soɓɓe, a bai morrĩi Joŋ fan bai laa morrĩi", 
Goŋ bai,Tradition funéraire moundang," Ne cok dəɓ mo wə ɓe, za ɓaŋ goro ah ɓoo yerri pa wul nyini, a joŋ fan na pa wul ryakryakke Dəɓ ah ɗii ne bai, wala bai goŋ", 
Təɗii məlaŋ goŋ Ləər patə gwa ah yo,Nom de la 2ème," ’Yah faa: bai ka izah koŋ dəɓ ya, wala wəə dəɓ pə ɓə daŋ ya 
", fille du Gong de Léré 
"Ne gaɓɓe, bai swahe, koo ne syemme","Couché ou assis sans bouger, sans force, attaché à, plaqué à"," Za pəlli swahra ɓo səŋ baila baila (bəlai bəlai, fokfok) ka gak ɓaŋra tətəl səŋ ya Madəə tam lee ge səŋ swə gŋ baila baila", 
Dəɓ mai we ge jyo daa kan zahki,Ami de circoncision," Za mo gbəra jol ɓii kan nyi ki ɓe, ka we ye bailii (bai tə goo) wo ki Ɓə ah ka joŋ cok daŋ ya Ban mai moo joŋra ɓəsyak kəsyil ki ra ye bailii ta (Mundaŋ ne Mbəmmi)", 
Goo,"Racine venimeuse, ami par échange de cette plante, être aimé"," Bailəŋ jur kul ɓo A fai na kulli, a sosoo təgbana kul ta, a pəsahe Sah ah kəə za ki ɗəəra ləŋ cor za ’yah ɓəə ne ko naiko: azu zahki ne mo ne bailəŋ ɓe? Amma soo bailəŋ sye fawul o, dəɓ mo re ɓe, mo wunni", 
Kwan pəryupəryu,Apercevoir," Me bai ko ɓe, me kwo ko pəsah ya Mo tə bai cok bai o ne? oho, me bəbai Ako tə bai cok pəryupəryu no Dəɓ ah na taa, za ka bai ko bai ya", 
Gee,Aulacode," Baizwah (geenjwah, tənjwah) fuŋ pəlli, zah ah pəwahe (pəwahlle) Min ka ’yah baizwah ya Gee manyeeki ah laŋ ɗuura gal ah ta Za lwaa wun 13 kah fahlii pəlli Za mundaŋ faara haazah ɓo ne fahlii ne faani: zye ka zəə fahlii ya, mo zəə ɓe a wunni 
", 
"Pə’manne, pə ’ahe",Large," Nwah ɓo foo bii ɓo, mo syee zah ah ge lal bai Me ga syea mor ɓə ah bai bai: yah faa, me ga kyeɓ mor ɓə ah belbelle Syee zah ɓo lal bai", 
Ɓə mai za mo kan ɓo ka joŋ pə cok wul goroo,Purificateur de la maison au moment de sacrifice du defunt," Zahban mai mo təra ki ɓo ɓaa, a gbanra ki kaa goŋ bai (bai) Goŋ bai ye yea ne swah pə cok wul dəɓ mai mo zyeɓra ɓə ah ɓo A kor pawul təkine fan joŋ ah Ɓə ah mo vər ɓe, a swanra fahlii goŋ bai ga yaŋ ahe Fan lwaa mə goŋ bai ye mbəro wo suu, ɗeere, təkalle ", 
"Pəlli, pə’manne",Beaucoup amer," Mər ah fuŋ pəzwak bakbak Kpuu haare, goraŋ, bahre, daŋ pə zwak bakbak Mai cuu fuŋ ah ne laa ah pə zah daŋ", 
"Pəɓe’, pə’manne, bakbak",Beaucoup amer," Bah ne lee ah daŋ pəzwak bakkəkə Mo ka bakbak ya ɓe, ka a jaatətə, pəjeere ", 
"Bai faa ɓə, ne yella ’yaŋ","En silence, clairement"," Me tə faa ɓə nyi ko, zyii ɓə ki ya, syee kal bakkəkə (gbakkəkə, satatat, sətətət) Syee kal ’yaŋ ’yaŋ (satatat) Bam sah bakkəkə (gbakkəkə) tə yah tanne", 
"Mər swaa (zal swaa), wala nah mbəro mai za mo ŋhəə nəm ah ɓo, so mo gər ɓo gərri",Tourteau d’arachide ou du coton, Zan ki ’yahra bakuru pəlli , 
Jinni,Filet de pèche," Bakyole jur kəɓak ɓo, dəɓ vaŋno ye gban syiŋ ne ko Bakyole ka gak gban syiŋ luu ya Za ki ɗiira ne bacolle Mo gak ɗii ne makene daŋ, a pəsahe", 
"14 Cok mai bii moo yea gŋ biŋ biŋ, faa yea gŋ pəlli",Clairière," Kəzəəre, bah daŋ yeara pə bakəma (falle, guruŋ) ", 
Fan gban syiŋ,Nasse pour la pèche," Bakətətəə (zulurri) jur həə ma maa ɓo A təəra təə, mor ah a ɗiira ne bakətətəə Za ma joŋra yeɓ ah a peera pə bii na dəɓ moo cii korre, a soɓra zah ah gəə Syiŋ mo baa ge gŋ ɓe, a cakra zah ɓəə ga gŋ, a rahra syiŋ ah ne jolle A gbanra weesyak ne bakətətəə pəlli Za ma kah mabii ye joŋra yeɓ ahe", 
Manjoklii,Estomac," Fan pə cii ɓərri Dəɓ mo re təwaa ɓe, wala dəɓ mo re feene daŋ a ga pə bakəzuŋ Liira bakəzuŋ (mabakəzuŋ, makətəɓɓi) ne njok malii ahe, mor ah a ɗii ne manjoklii (manjwaklii)", 
Yea ne gaɓ fanne,"Va ou fait avec, assumer cette responsabilité"," Mo bak (pahk) ne ko, ’yah faa: Mo ge ne ɓə ah o, mo dai ne ko Mai me bak ne ko ne yaŋ ɓe o Bak (pahk) ne fan cuu ɓaŋ gaɓ ɓə ahe", 
Syemme,Cicatrice," Fan ma baa wo suu kpəcək kpəcək Zahsuŋ nwah mai mo ruŋ ɓe, mo soɓ pəsyee ɓe, ka ciŋ balaara ɓe Balaara mo ka pəlli ya ɓe, ka ɓaa bələə ɓo Cok nən, wala wak suu mo ne balaara ɓe, ka yea pəsah ya", 
